"Parcela","Cultura","IQS_ANOVA","IQS_Fuzzy","IQS_PLS","IQS_MARS","IQS_RF","IQS_ANOVA_blom","IQS_Fuzzy_blom","IQS_PLS_blom","IQS_MARS_blom","IQS_RF_blom","MetaIQS_Borda"
"NT","Millet",3.84164745297177,7.14706621968724,5.2586,7.23067941095697,6.90681632240942,-0.0116050210127303,1.73166439612225,0.5217393083884,2.60233042765711,1.15034938037601,87.4
"NT","Sunn hemp",6.80783359345596,6.9764875295803,4.2316,6.90200212260392,6.82842623757323,0.913249926683609,1.06464405193839,0.128001042354502,0.986120318603346,0.986120318603346,84.8
"NT","Sunn hemp",5.33872665418803,6.941005236537,3.5219,6.92106882548937,6.85085098577039,0.443495452975006,0.986120318603346,-0.19857834735111,1.0245923925401,1.06464405193839,79
"NT","Sunn hemp",5.24600868675059,6.94133438379043,3.3506,6.94893554509119,6.83412796384763,0.392830813649729,1.0245923925401,-0.318639363964375,1.06464405193839,1.0245923925401,77.8
"NT","Sunn hemp",0,4.54780633254621,3.6301,4.5763634004194,4.75291692103928,-2.60233042765711,-0.418028984178432,-0.128001042354502,-0.418028984178432,-0.318639363964375,33
"NT","Sunn hemp",1.69313523612721,5.06295187676665,2.8819,5.09559392787936,4.95764459904466,-1.15034938037601,-0.0116050210127303,-0.5217393083884,-0.0116050210127303,-0.104633455614075,41
"NT","Sunn hemp",2.0210478632562,4.92080625606037,3.8355,4.89901409892155,4.96579432979265,-0.986120318603346,-0.222308065187877,-0.0580563997946523,-0.246163646661359,-0.0813228717724495,42
"NT","Sunn hemp",2.91384154033376,3.71922934113864,3.1397,3.71186752828182,3.82991716177175,-0.392830813649729,-1.73166439612225,-0.469252883812802,-1.55322089800153,-1.29754292861655,19.2
"NT","Sunn hemp",3.05065730002363,3.74359392092782,2.2475,3.70613840695222,3.85165690406919,-0.294313289581477,-1.24545931165828,-0.718868052822716,-1.73166439612225,-1.15034938037601,19.8
"NT","Sunn hemp",3.5577930172931,3.72200734916289,2.4276,3.70907283495031,3.87542228049704,-0.128001042354502,-1.55322089800153,-0.659991538619561,-1.63594140222522,-1.10648068751121,21
"NT","Pigeon pea",9.91949561208273,7.03092556946604,5.1386,7.02711511481861,6.96946669189017,2.20041058121003,1.10648068751121,0.418028984178433,1.15034938037601,1.29754292861655,93.2
"NT","Pigeon pea",9.81685974536907,7.04690654668004,4.6145,7.03951701631132,6.98142069386543,1.99268184795863,1.24545931165828,0.343155498201741,1.24545931165828,1.3534061120182,93.6
"NT","Pigeon pea",6.81995699571763,7.06722822797324,4.6108,7.02672450374797,6.95249914326603,0.949055092751712,1.29754292861655,0.318639363964375,1.10648068751121,1.19655132690156,89.2
"NT","Pigeon pea",3.85406035144056,4.44889911128849,4.3381,4.43742770404339,4.4778055814235,0.0116050210127303,-0.562061564828265,0.19857834735111,-0.575704675100676,-0.631401894239761,41.9
