"Parcela","Cultura","IPACSA","IQS_RF","IQS_RF_CI_lower","IQS_RF_CI_upper"
"NT","Pigeon pea",4.44889911128849,4.49403775200924,4.08472400311932,5.36543146729566
"NT","Pigeon pea",4.45156784130826,4.4922084024828,4.08472400311932,5.27619837320669
"NT","Pigeon pea",5.27986519102874,5.23566700949444,4.47582126410927,5.46752721020499
"NT","Pigeon pea",5.28004153598002,5.21183692197854,4.36713727654918,5.38038624102106
"NT","Pigeon pea",5.28091024171303,5.24710677189238,4.65632805109898,5.38565339078004
"MT","Cowpea",4.96432534207939,5.03257543117452,4.6790287895744,5.83556199525955
"MT","Cowpea",4.96412598992629,5.04326503539372,4.6310658632019,5.83570615962746
"MT","Cowpea",4.96426454190975,5.0046598940671,4.44806938826004,5.83568556471776
"MT","Cowpea",5.59406969493868,5.58781569840999,4.70100301792899,5.84430351769982
"MT","Cowpea",5.61735458168868,5.58708898561561,4.57649263590584,5.84151106734131
"MT","Cowpea",5.64002261559884,5.61576922633737,4.96417698726754,5.84276689076226
"MT","Cowpea",5.60669274803743,5.58231558332831,4.82350289776779,6.47793252995766
"MT","Cowpea",5.60669274803743,5.53099970251016,4.44842436765881,6.13090072402936
"MT","Cowpea",5.51868365373989,5.56798389914615,4.71208705669074,6.50951999996667
"MT","Millet",4.31064931590046,4.38435356141385,3.93184002257216,5.05740679081742
"MT","Millet",4.36162358823961,4.38479543511088,3.8917297522331,5.00420920938692
"MT","Millet",4.33369538639936,4.40700103025414,3.9110839180288,5.51868365373989
"MT","Millet",5.83556199525955,5.71210308015645,4.96420623461672,5.89331520930899
"MT","Millet",5.8462251741457,5.77040155629034,4.97378320454537,5.87719386718722
"MT","Millet",5.8361111928516,5.73128332797881,4.96420659588576,5.8462251741457
"MT","Millet",6.2129111553147,6.25396271632879,5.95775182715744,7.12836600846382
"MT","Millet",6.0458679317031,6.2355295124071,5.94974893448702,7.02216068162484
"MT","Millet",6.47793252995766,6.30919894555247,5.91223975565529,7.05453904368831
"MT","Sunn hemp",4.44806938826004,4.53584830341197,4.21057007079441,5.60669274803743
"MT","Sunn hemp",4.44809929390419,4.49110966242642,4.07632986634354,5.59567609393792
"MT","Sunn hemp",4.44806938826004,4.46570241027948,3.75603386290418,5.24521674463874
"MT","Sunn hemp",7.0998470961627,6.95794067385503,5.90691630434878,7.16493382950763
"MT","Sunn hemp",7.03279644676042,6.98478517607076,5.9273176494024,7.162199221221
"MT","Sunn hemp",7.03466337297665,6.89642094643302,5.90541075365254,7.17360130961159
"MT","Sunn hemp",5.26788616463407,5.22921862248175,4.71804399931143,5.5278601873257
"MT","Sunn hemp",5.26758811168121,5.23376084922175,4.69383418438478,5.41620917560217
"MT","Sunn hemp",5.26732202024285,5.22031159312151,4.60595305577308,5.38752498919568
"MT","Pigeon pea",7.15815639427058,7.05194604743819,5.79884601391878,7.19121180732302
"MT","Pigeon pea",7.15983110682845,7.08967429057051,5.85850805575368,7.20193720364288
"MT","Pigeon pea",7.20193720364288,7.01618654348746,5.77933387016358,7.20193720364288
"MT","Pigeon pea",6.23581434743753,6.24820274995295,6.0056464249841,7.05937685942461
"MT","Pigeon pea",6.20796130273694,6.2891484271028,5.94361460302665,7.15050017199249
"MT","Pigeon pea",6.20064318619558,6.28291730646934,5.99229955671328,7.14706621968724
"MT","Pigeon pea",5.90254384098549,5.95420406173956,5.63796587015302,7.03137116766679
"MT","Pigeon pea",5.90618337692156,5.98214465340372,5.69134203291027,7.0657268274243
"MT","Pigeon pea",5.91159970662058,5.97375319182851,5.7215914842324,7.04314437198235
"CT","Cowpea",5.79884601391878,5.75440131978792,4.72032360343944,6.84269892355944
"CT","Cowpea",5.79884601391878,5.72765126480327,4.69946709245489,6.43096736100333
"CT","Cowpea",5.79884601391878,5.82198385101436,4.70437397547219,7.13815089270825
"CT","Cowpea",5.7756632688631,5.81913312694126,4.70419433720094,7.07902971986578
"CT","Cowpea",5.7756632688631,5.78462820743403,4.59758160612989,7.07902971986578
"CT","Cowpea",5.7756632688631,5.77676032648094,4.36356840943792,7.07992639481271
"CT","Cowpea",5.93798832193484,6.13220264131536,5.84905267072029,7.11245735992917
"CT","Cowpea",6.12537403097872,6.19836405006451,5.92617349495172,7.11858033560074
"CT","Cowpea",6.17329088755293,6.1555662041163,5.24521674463874,7.12141535411379
"CT","Millet",4.72216788598004,4.77207673414289,4.44807649085053,5.27447376000785
"CT","Millet",4.72203394976987,4.70517677993485,3.76688324394283,4.99099353638507
