Parcela,Cultura,DMG,DMP,RMP,Densidade,Estoque de C,Na,ICV(%),Altura de Plantas,Diâmetro espiga,Comprimento espiga,Número de plantas_ha,N total de espigas_ha,N de espigas comerciais_ha,Peso de espigas comerciais_ha,Produtividade,DMG_norm,DMP_norm,RMP_norm,Densidade_norm,Estoque de C_norm,Na_norm,ICV(%)_norm,Altura de Plantas_norm,Diâmetro espiga_norm,Comprimento espiga_norm,Número de plantas_ha_norm,N total de espigas_ha_norm,N de espigas comerciais_ha_norm,Peso de espigas comerciais_ha_norm,Produtividade_norm,COS,ARQ,STAND,IPACSA,Parcela_Cultura
NT,Sunn hemp,0.05059525068942057,0.4519371297351165,0.25126619021226854,-0.22000613753161966,-0.133465603642867,6.4,-1.1238444396898202,1.85,54.4,18.4,16333.333333333334,15000,6666.666666666667,1725,6666.666666666667,2.5078377842178283,4.31443652375596,6.5624906080089085,9.348987096612849,1.1346331393715134,8.884331419196062,2.1052631578947354,3.5714285714285725,6.666666666666664,2.3684210526315757,8.857142857142858,5.599999999999998,4.090909090909091,4.496855345911949,4.090909090909091,5.026438901589955,5.319601953334009,7.500000000000001,6.9413343837904264,NT_Sunn hemp
NT,Sunn hemp,-0.5049660704284705,-0.6863182718492191,-0.5956421711388449,3.642108308505163,2.703563003418388,15.9,0.6154386217349023,1.78,52.4,18.8,14166.666666666666,12666.666666666666,6833.333333333333,1635,6833.333333333333,0.43647382971146387,0.7570537900249668,9.390545436924011,0.17518606897564304,9.659042907241776,5.767022149302708,7.368421052631576,2.5714285714285716,4.583333333333331,2.8947368421052633,5.142857142857142,2.7999999999999985,4.242424242424242,4.1572327044025155,4.242424242424242,4.838999434625007,3.2339335382813554,4.721327680737007,4.5478063325462115,NT_Sunn hemp
NT,Sunn hemp,0.5074994219157114,1.0266317912234755,0.7670656065695934,4.228873885450612,3.157461890157237,5.2,0.6154386217349023,1.74,52.4,18.8,14166.666666666666,12666.666666666666,6833.333333333333,1635,6833.333333333333,4.211366800668043,6.110526279271689,4.840097611612254,0,10,9.278096800656275,7.368421052631576,1.9999999999999993,4.583333333333331,2.8947368421052633,5.142857142857142,2.7999999999999985,4.242424242424242,4.1572327044025155,4.242424242424242,5.186652333434224,3.2339335382813554,4.721327680737007,5.062951876766652,NT_Sunn hemp
NT,Sunn hemp,0.548876559260698,1.1678459519337077,0.8583612555972029,4.238631627861025,3.165010097808105,9.1,0.6154386217349023,1.9,52.4,18.8,14166.666666666666,12666.666666666666,6833.333333333333,1635,6833.333333333333,4.3656379991463785,6.551862043081523,4.535236881840302,0,10,7.998359310910583,7.368421052631576,4.285714285714285,4.583333333333331,2.8947368421052633,5.142857142857142,2.7999999999999985,4.242424242424242,4.1572327044025155,4.242424242424242,5.051907470607254,3.9521946905408676,4.721327680737007,4.920806256060368,NT_Sunn hemp
NT,Sunn hemp,-0.08344372828425115,0.34743212482918784,0.13199419827246833,-0.2604194159639144,-0.16143696737445212,10.533,0.6154386217349023,2.2,54.4,17.6,11333.333333333334,10333.333333333334,5166.666666666667,1405,5166.666666666667,2.008084653481098,3.987827662929677,6.960771872137122,9.444982018667224,1.050587682226418,7.528137817883511,7.368421052631576,8.571428571428577,6.666666666666664,1.315789473684211,0.28571428571428775,0,2.7272727272727275,3.289308176100629,2.7272727272727275,4.9023226779550475,4.86048585493218,2.5,3.719229341138636,NT_Sunn hemp
NT,Sunn hemp,0.03877944990055997,0.5751377259946073,0.30695858794758363,-0.2739505275407158,-0.17658677290111885,10.533,0.6154386217349023,1.97,54.4,17.6,11333.333333333334,10333.333333333334,5166.666666666667,1405,5166.666666666667,2.463783558487308,4.699474603354657,6.376518711240822,9.47712289046757,1.0050671154293753,7.528137817883511,7.368421052631576,5.285714285714286,6.666666666666664,1.315789473684211,0.28571428571428775,0,2.7272727272727275,3.289308176100629,2.7272727272727275,4.97944518368712,4.860383760665789,2.5,3.743593920927818,NT_Sunn hemp
NT,Sunn hemp,0.29572605160640136,0.9675597941861717,0.6316429228962865,-0.2670199581965004,-0.1688271164118507,10.533,0.6154386217349023,2,54.4,17.6,11333.333333333334,10333.333333333334,5166.666666666667,1405,5166.666666666667,3.421787488522321,5.925908923610544,5.292310379822438,9.460660492716173,1.0283825276912748,7.528137817883511,7.368421052631576,5.714285714285715,6.666666666666664,1.315789473684211,0.28571428571428775,0,2.7272727272727275,3.289308176100629,2.7272727272727275,4.911032727877241,4.890708874584622,2.5,3.7220073491628907,NT_Sunn hemp
NT,Pigeon pea,2.4847660050762346,2.5121669277305148,2.4984664664033747,-0.3218119166801391,-0.35497073671323326,3.1,-0.7759878274048753,1.8,55.8,19.8,17000,18666.666666666668,9166.666666666666,1950,9166.666666666666,10,10,0,9.590809542431483,0.4690774536520342,9.96718621821165,3.1578947368421053,2.8571428571428577,8.124999999999996,4.210526315789474,10,10,6.363636363636363,5.345911949685535,6.363636363636363,4.881840184231402,4.778172915347061,7.5,7.030925569466045,NT_Pigeon pea
NT,Pigeon pea,2.4847660050762346,2.5121669277305148,2.4984664664033747,-0.28050414047610567,-0.322175760840647,4,-0.7759878274048753,1.65,55.8,19.8,17000,18666.666666666668,9166.666666666666,1950,9166.666666666666,10,10,0,9.49268989189165,0.567616401045633,9.671862182116488,3.1578947368421053,0.714285714285712,8.124999999999996,4.210526315789474,10,10,6.363636363636363,5.345911949685535,6.363636363636363,4.787516685734819,5.263479293824203,7.5,7.046906546680037,NT_Pigeon pea
NT,Pigeon pea,-0.03861269348089692,0.3489433229704121,0.1551653147447576,-0.3231129490015247,-0.356003649339142,8.9,-0.7759878274048753,1.7,55.8,19.8,17000,18666.666666666668,9166.666666666666,1950,9166.666666666666,2.1752334199719585,3.992550601355758,6.883397281424297,9.593899925125648,0.465973864757746,8.063986874487284,3.1578947368421053,1.428571428571427,8.124999999999996,4.210526315789474,10,10,6.363636363636363,5.345911949685535,6.363636363636363,4.947380578574692,5.090271856783635,7.5,7.067228227973242,NT_Pigeon pea
NT,Pigeon pea,-0.6033487631842702,-0.8937659702243341,-0.7485573667043022,-0.28583150355937176,-0.32853831458598104,12.2,0.2675820094499583,1.95,57.6,19.2,12000,12166.666666666666,9000,2640,9000,0.06966218214827058,0.10871875087233998,9.90117040766285,9.505344143755682,0.5484988584306832,6.981132075471699,6.315789473684211,5,10,3.421052631578946,1.4285714285714293,2.1999999999999984,6.212121212121212,7.949685534591194,6.212121212121212,4.870459922855966,5.046165839794787,2.5,4.448899111288485,NT_Pigeon pea
