Parcela,Cultura,Combo,DMG_norm,DMP_norm,RMP_norm,Densidade_norm,Estoque.de.C_norm,Na_norm,ICV..._norm,pH_norm,P_norm,K_norm,Altura.de.Plantas_norm,Diâmetro.espiga_norm,Comprimento.espiga_norm,Número.de.plantas_ha_norm,N.total.de.espigas_ha_norm,N.de.espigas.comerciais_ha_norm,Peso.de.espigas.comerciais_ha_norm,Produtividade_norm,IPACSA,IQS_ANOVA,IQS_Fuzzy,IQS_PLS,IQS_MARS,IQS_RF,MetaIQS_Borda,pH_0_10,P_0_10,K_0_10,Ca_cmolc_dm3,Mg_cmolc_dm3,Al_cmolc_dm3,HAl_cmolc_dm3,SB_cmolc_dm3,T_cmolc_dm3,V_pct,m_pct,MOS_g_kg,EstN_kg_ha,MI_pct,MA_pct,VIB_mm_h,RP_KPa,AD_PT,qMIC,qCO2,CCO2_g_kg,CMIC_ug_g,NMIC_mg_kg
CT,Sunn hemp,CT_Sunn hemp,0.533114223735118,0.577701534495119,9.44308443717815,9.05380409114596,1.50212949969852,7.52813781788351,5.26315789473684,3.16582914572865,2.30141252363475,2.50065975494816,0,0,0.789473684210524,3.71428571428572,2.4,1.21212121212121,0.880503144654088,1.21212121212121,3.74454975446863,0.456139132001394,3.74454975446863,1.74848430841043,3.77068696753027,3.77748429821628,11,4.665,50.383,73.083,1.28,0.81,0.0567,1.2967,2.2,3.4533,55.3367,2.44,11.9333,797.5933,22.9667,12.2033,13.5,0.9233,0.2267,15.4267,5.1967,40.2867,59.7267,1.79
CT,Sunn hemp,CT_Sunn hemp,0.787803912594819,1.34651749044319,8.91830431610026,8.97227602609143,1.61182296310211,7.52813781788351,5.26315789473684,3.16582914572865,2.30141252363475,2.50065975494816,2.85714285714286,0,0.789473684210524,3.71428571428572,2.4,1.21212121212121,0.880503144654088,1.21212121212121,3.74163489894779,0.820691357761032,3.74163489894779,2.35482854042591,3.76098745876087,3.80839314146198,12.6,4.665,50.383,73.083,1.28,0.81,0.0567,1.2967,2.2,3.4533,55.3367,2.44,11.9333,797.5933,22.9667,12.2033,13.5,0.9233,0.2267,15.4267,5.1967,40.2867,59.7267,1.79
CT,Sunn hemp,CT_Sunn hemp,0.540002941976475,0.808610786468483,9.31664028485002,9.0279346089652,1.66358830062046,7.52813781788351,5.26315789473684,3.16582914572865,2.30141252363475,2.50065975494816,0.714285714285712,0,0.789473684210524,3.71428571428572,2.4,1.21212121212121,0.880503144654088,1.21212121212121,3.74025134801969,0.537477537284594,3.74025134801969,1.9016552891103,3.756410172844,3.79778772267738,10.4,4.665,50.383,73.083,1.28,0.81,0.0567,1.2967,2.2,3.4533,55.3367,2.44,11.9333,797.5933,22.9667,12.2033,13.5,0.9233,0.2267,15.4267,5.1967,40.2867,59.7267,1.79
CT,Sunn hemp,CT_Sunn hemp,0.251111158087816,0.362158371565684,9.68451938715347,9.01617575342848,1.29468289007999,7.52813781788351,0,3.16582914572865,2.30141252363475,2.50065975494816,7.14285714285715,4.79166666666667,0.263157894736841,8.57142857142857,6,5.90909090909091,5.9748427672956,5.90909090909091,7.14144215530903,3.70976966724229,7.14144215530903,5.11796155264778,7.07997802529096,7.01737633912422,85.9,4.665,50.383,73.083,1.28,0.81,0.0567,1.2967,2.2,3.4533,55.3367,2.44,11.9333,797.5933,22.9667,12.2033,13.5,0.9233,0.2267,15.4267,5.1967,40.2867,59.7267,1.79
CT,Sunn hemp,CT_Sunn hemp,0.343445636161082,0.395154397488113,9.62554322021873,9.01617575342849,1.29468289007999,7.52813781788351,0,3.16582914572865,2.30141252363475,2.50065975494816,5,4.79166666666667,0.263157894736841,8.57142857142857,6,5.90909090909091,5.9748427672956,5.90909090909091,7.14144215530903,3.6465696815064,7.14144215530903,4.6773279256414,7.07997802529096,7.01885733792714,85.1,4.665,50.383,73.083,1.28,0.81,0.0567,1.2967,2.2,3.4533,55.3367,2.44,11.9333,797.5933,22.9667,12.2033,13.5,0.9233,0.2267,15.4267,5.1967,40.2867,59.7267,1.79
CT,Sunn hemp,CT_Sunn hemp,0.278824132746657,0.345958063469386,9.68076388397966,9.19255858647916,1.08802355412225,7.52813781788351,0,3.16582914572865,2.30141252363475,2.50065975494816,8.57142857142858,4.79166666666667,0.263157894736841,8.57142857142857,6,5.90909090909091,5.9748427672956,5.90909090909091,7.13461034618954,3.78994154924251,7.13461034618954,5.40934466409426,7.08039333256444,7.00626866294653,87.6,4.665,50.383,73.083,1.28,0.81,0.0567,1.2967,2.2,3.4533,55.3367,2.44,11.9333,797.5933,22.9667,12.2033,13.5,0.9233,0.2267,15.4267,5.1967,40.2867,59.7267,1.79
MT,Cowpea,MT_Cowpea,10,10,0,9.73914791175154,0.732046928041006,9.21246923707957,6.31578947368421,6.48241206030151,3.74708041374708,5.73044297832234,7.14285714285715,4.375,10,2.28571428571429,3.6,7.57575757575758,8.67924528301887,7.57575757575758,4.96432534207939,8.16914563226667,4.96432534207939,5.85407870173737,4.88383345045253,5.00794037167103,67,4.995,56.882,90.217,1.1567,0.7367,0.04,1.48,1.9633,3.6667,53.8267,1.89,14.1333,888.4967,22.3967,11.1967,55.0,0.64,0.2067,7.99,20.7767,124.1167,36.39,18.2967
MT,Cowpea,MT_Cowpea,6.39621980210554,8.63311110619867,2.51404384410777,9.6703868968063,0.838285163268508,9.60623461853979,6.31578947368421,6.48241206030151,3.74708041374708,5.73044297832234,7.85714285714286,4.375,10,2.28571428571429,3.6,7.57575757575758,8.67924528301887,7.57575757575758,4.96412598992629,6.98746286299583,4.96412598992629,5.75652919796633,4.89863419163043,5.0011735372508,65.2,4.995,56.882,90.217,1.1567,0.7367,0.04,1.48,1.9633,3.6667,53.8267,1.89,14.1333,888.4967,22.3967,11.1967,55.0,0.64,0.2067,7.99,20.7767,124.1167,36.39,18.2967
MT,Cowpea,MT_Cowpea,0.699663217707755,1.72149976127136,8.7574470696726,9.71906042423944,0.763082816983872,0,6.31578947368421,6.48241206030151,3.74708041374708,5.73044297832234,7.14285714285715,4.375,10,2.28571428571429,3.6,7.57575757575758,8.67924528301887,7.57575757575758,4.96426454190975,3.22174311519516,4.96426454190975,6.91049000116181,4.88815726248203,5.00558677533495,57.6,4.995,56.882,90.217,1.1567,0.7367,0.04,1.48,1.9633,3.6667,53.8267,1.89,14.1333,888.4967,22.3967,11.1967,55.0,0.64,0.2067,7.99,20.7767,124.1167,36.39,18.2967
MT,Cowpea,MT_Cowpea,0.390565487440116,0.574829368318684,9.50845406376273,8.25962719691869,3.20553267128512,8.22805578342904,9.47368421052632,6.48241206030151,3.74708041374708,5.73044297832234,10,0,7.10526315789474,3.71428571428572,4,8.03030303030303,8.9937106918239,8.03030303030303,5.59406969493868,3.02813092838461,5.59406969493868,6.21662778904696,5.53417065609362,5.57889545088301,65,4.995,56.882,90.217,1.1567,0.7367,0.04,1.48,1.9633,3.6667,53.8267,1.89,14.1333,888.4967,22.3967,11.1967,55.0,0.64,0.2067,7.99,20.7767,124.1167,36.39,18.2967
